,Title,Box Office,IMDb,Rotten Tomatoes,Metascore,Awards
0,Jurassic World,"$652,385,625",7.0,70%,59,15 wins & 58 nominations.
1,Furious 7,"$353,007,020",7.1,82%,67,Nominated for 1 Golden Globe. Another 35 wins & 35 nominations.
2,Avengers: Age of Ultron,"$459,005,868",7.3,75%,66,8 wins & 49 nominations.
3,Minions,"$336,045,770",6.4,55%,56,Nominated for 1 BAFTA Film Award. Another 4 wins & 26 nominations.
4,Spectre,"$200,074,609",6.8,63%,60,Won 1 Oscar. Another 7 wins & 36 nominations.
5,Inside Out,"$356,921,711",8.1,98%,94,Won 1 Oscar. Another 99 wins & 116 nominations.
6,Mission: Impossible - Rogue Nation,"$195,042,377",7.4,94%,75,6 wins & 26 nominations.
7,The Hunger Games: Mockingjay - Part 2,"$281,723,902",6.6,69%,65,16 wins & 34 nominations.
8,The Martian,"$228,433,663",8.0,91%,80,Nominated for 7 Oscars. Another 38 wins & 192 nominations.
9,Fifty Shades of Grey,"$166,167,230",4.1,24%,46,Nominated for 1 Oscar. Another 9 wins & 27 nominations.
10,Cinderella,"$201,151,353",6.9,83%,67,Nominated for 1 Oscar. Another 8 wins & 36 nominations.
11,The Revenant,"$183,637,894",8.0,78%,76,Won 3 Oscars. Another 87 wins & 187 nominations.
12,Ant-Man,"$180,202,163",7.3,82%,64,Nominated for 1 BAFTA Film Award. Another 4 wins & 33 nominations.
13,San Andreas,"$155,190,832",6.1,49%,43,2 wins & 10 nominations.
14,Hotel Transylvania 2,"$169,700,110",6.7,55%,44,1 win & 10 nominations.
15,Terminator Genisys,"$89,760,956",6.3,27%,38,10 nominations.
16,Mad Max: Fury Road,"$154,058,340",8.1,97%,90,Won 6 Oscars. Another 239 wins & 231 nominations.
17,Home,"$177,397,510",6.6,51%,55,3 wins & 9 nominations.
18,The Good Dinosaur,"$123,087,120",6.7,76%,66,Nominated for 1 Golden Globe. Another 9 wins & 40 nominations.
19,Captain America: Civil War,"$408,084,349",7.8,90%,75,16 wins & 72 nominations.
20,Rogue One: A Star Wars Story,"$532,177,324",7.8,84%,65,Nominated for 2 Oscars. Another 24 wins & 81 nominations.
21,Finding Dory,"$486,295,561",7.3,94%,77,Nominated for 1 BAFTA Film Award. Another 17 wins & 45 nominations.
