,Title,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Revenue,Box Office,Budget,TMDb Score,IMDb,Rotten Tomatoes,Metascore,Awards,Release Year,Release Month
0,Star Wars: The Force Awakens,Action,Adventure,Science Fiction,Fantasy,,,2068223624,936662225,245000000,7.4,7.9,93.0,80.0,Nominated for 5 Oscars. Another 62 wins & 131 nominations.,2015,12
1,Jurassic World,Action,Adventure,Science Fiction,Thriller,,,1671713208,652385625,150000000,6.7,7.0,70.0,59.0,15 wins & 58 nominations.,2015,6
2,Furious 7,Action,Thriller,,,,,1515047671,353007020,190000000,7.3,7.1,82.0,67.0,Nominated for 1 Golden Globe. Another 35 wins & 35 nominations.,2015,4
3,Avengers: Age of Ultron,Action,Adventure,Science Fiction,,,,1405403694,459005868,250000000,7.3,7.3,75.0,66.0,8 wins & 49 nominations.,2015,4
4,Minions,Family,Animation,Adventure,Comedy,,,1156730962,336045770,74000000,6.4,6.4,55.0,56.0,Nominated for 1 BAFTA Film Award. Another 4 wins & 26 nominations.,2015,6
5,Spectre,Action,Adventure,Thriller,,,,880674609,200074609,245000000,6.5,6.8,63.0,60.0,Won 1 Oscar. Another 7 wins & 36 nominations.,2015,10
6,Inside Out,Animation,Family,Adventure,Drama,Comedy,,857611174,356921711,175000000,7.9,8.1,98.0,94.0,Won 1 Oscar. Another 99 wins & 116 nominations.,2015,6
7,Mission: Impossible - Rogue Nation,Action,Adventure,,,,,682330139,195042377,150000000,7.2,7.4,94.0,75.0,6 wins & 26 nominations.,2015,7
8,The Hunger Games: Mockingjay - Part 2,Action,Adventure,Science Fiction,,,,653428261,281723902,160000000,6.9,6.6,69.0,65.0,16 wins & 34 nominations.,2015,11
9,The Martian,Drama,Adventure,Science Fiction,,,,630161890,228433663,108000000,7.7,8.0,91.0,80.0,Nominated for 7 Oscars. Another 38 wins & 192 nominations.,2015,9
10,Fifty Shades of Grey,Drama,Romance,Thriller,,,,571006128,166167230,4000000,5.9,4.1,24.0,46.0,Nominated for 1 Oscar. Another 9 wins & 27 nominations.,2015,2
11,Cinderella,Romance,Fantasy,Family,Drama,,,543514353,201151353,95000000,6.8,6.9,83.0,67.0,Nominated for 1 Oscar. Another 8 wins & 36 nominations.,2015,3
12,The Revenant,Western,Drama,Adventure,,,,532950503,183637894,135000000,7.5,8.0,78.0,76.0,Won 3 Oscars. Another 88 wins & 187 nominations.,2015,12
13,Ant-Man,Science Fiction,Action,Adventure,,,,519311965,180202163,130000000,7.1,7.3,82.0,64.0,Nominated for 1 BAFTA Film Award. Another 4 wins & 33 nominations.,2015,7
14,San Andreas,Action,Drama,Thriller,,,,473990832,155190832,110000000,6.2,6.1,49.0,43.0,2 wins & 10 nominations.,2015,5
15,Hotel Transylvania 2,Family,Animation,Comedy,Fantasy,,,473226958,169700110,80000000,6.8,6.7,55.0,44.0,1 win & 10 nominations.,2015,9
16,Terminator Genisys,Science Fiction,Action,Thriller,Adventure,,,440603537,89760956,155000000,5.9,6.3,27.0,38.0,10 nominations.,2015,6
17,Mad Max: Fury Road,Action,Adventure,Science Fiction,,,,378858340,154058340,150000000,7.5,8.1,97.0,90.0,Won 6 Oscars. Another 239 wins & 231 nominations.,2015,5
18,Home,Fantasy,Comedy,Animation,Science Fiction,Family,,368871007,177397510,135000000,6.8,6.6,51.0,55.0,3 wins & 9 nominations.,2015,3
19,The Good Dinosaur,Adventure,Animation,Family,,,,332207671,123087120,175000000,6.7,6.7,76.0,66.0,Nominated for 1 Golden Globe. Another 9 wins & 40 nominations.,2015,11
20,Captain America: Civil War,Adventure,Action,Science Fiction,,,,1153296293,408084349,250000000,7.4,7.8,90.0,75.0,16 wins & 72 nominations.,2016,4
21,Rogue One: A Star Wars Story,Action,Adventure,Science Fiction,,,,1056057273,532177324,200000000,7.5,7.8,84.0,65.0,Nominated for 2 Oscars. Another 24 wins & 81 nominations.,2016,12
22,Finding Dory,Adventure,Animation,Comedy,Family,,,1028570889,486295561,200000000,7.1,7.3,94.0,77.0,Nominated for 1 BAFTA Film Award. Another 17 wins & 45 nominations.,2016,6
23,Zootopia,Animation,Adventure,Family,Comedy,,,1023784195,341268248,150000000,7.7,8.0,98.0,78.0,Won 1 Oscar. Another 46 wins & 72 nominations.,2016,2
24,The Jungle Book,Adventure,Drama,Family,Fantasy,,,966550600,364001123,175000000,6.9,7.4,94.0,77.0,Won 1 Oscar. Another 32 wins & 54 nominations.,2016,4
25,The Secret Life of Pets,Adventure,Comedy,Animation,Family,,,875457937,368384330,75000000,6.2,6.5,72.0,61.0,4 wins & 15 nominations.,2016,6
26,Batman v Superman: Dawn of Justice,Action,Adventure,Fantasy,,,,873634919,330360194,250000000,5.9,6.4,29.0,44.0,14 wins & 33 nominations.,2016,3
27,Fantastic Beasts and Where to Find Them,Adventure,Fantasy,,,,,809342332,234037575,180000000,7.4,7.3,74.0,66.0,Won 1 Oscar. Another 14 wins & 54 nominations.,2016,11
28,Deadpool,Action,Adventure,Comedy,,,,783100000,363070709,58000000,7.6,8.0,85.0,65.0,Nominated for 2 Golden Globes. Another 28 wins & 76 nominations.,2016,2
29,Suicide Squad,Action,Adventure,Crime,Fantasy,Science Fiction,,746846894,325100054,175000000,5.9,6.0,26.0,40.0,Won 1 Oscar. Another 16 wins & 40 nominations.,2016,8
30,Moana,Adventure,Comedy,Family,Animation,,,690860472,248757044,150000000,7.6,7.6,95.0,81.0,Nominated for 2 Oscars. Another 20 wins & 88 nominations.,2016,11
31,Doctor Strange,Action,Adventure,Fantasy,Science Fiction,,,677700000,232641920,165000000,7.4,7.5,89.0,72.0,Nominated for 1 Oscar. Another 19 wins & 67 nominations.,2016,10
