,Title,TMDb,IMDb,Rotten Tomatoes,Metascore,Awards,Revenue,Budget,Release Year,Release Month
0,Star Wars: The Force Awakens,7.4,7.9,93.0,80.0,Nominated for 5 Oscars. Another 62 wins & 131 nominations.,2068223624,245000000,2015,12
1,Jurassic World,6.7,7.0,70.0,59.0,15 wins & 58 nominations.,1671713208,150000000,2015,6
2,Furious 7,7.3,7.1,82.0,67.0,Nominated for 1 Golden Globe. Another 35 wins & 35 nominations.,1515047671,190000000,2015,4
3,Avengers: Age of Ultron,7.3,7.3,75.0,66.0,8 wins & 49 nominations.,1405403694,250000000,2015,4
4,Minions,6.4,6.4,55.0,56.0,Nominated for 1 BAFTA Film Award. Another 4 wins & 26 nominations.,1156730962,74000000,2015,6
5,Spectre,6.5,6.8,63.0,60.0,Won 1 Oscar. Another 7 wins & 36 nominations.,880674609,245000000,2015,10
6,Inside Out,7.9,8.1,98.0,94.0,Won 1 Oscar. Another 99 wins & 116 nominations.,857611174,175000000,2015,6
7,Mission: Impossible - Rogue Nation,7.2,7.4,94.0,75.0,6 wins & 26 nominations.,682330139,150000000,2015,7
8,The Hunger Games: Mockingjay - Part 2,6.9,6.6,69.0,65.0,16 wins & 34 nominations.,653428261,160000000,2015,11
9,The Martian,7.7,8.0,91.0,80.0,Nominated for 7 Oscars. Another 38 wins & 192 nominations.,630161890,108000000,2015,9
10,Fifty Shades of Grey,5.9,4.1,24.0,46.0,Nominated for 1 Oscar. Another 9 wins & 27 nominations.,571006128,4000000,2015,2
11,Cinderella,6.8,6.9,83.0,67.0,Nominated for 1 Oscar. Another 8 wins & 36 nominations.,543514353,95000000,2015,3
12,The Revenant,7.5,8.0,78.0,76.0,Won 3 Oscars. Another 88 wins & 187 nominations.,532950503,135000000,2015,12
13,Ant-Man,7.1,7.3,82.0,64.0,Nominated for 1 BAFTA Film Award. Another 4 wins & 33 nominations.,519311965,130000000,2015,7
14,San Andreas,6.2,6.1,49.0,43.0,2 wins & 10 nominations.,473990832,110000000,2015,5
15,Hotel Transylvania 2,6.8,6.7,55.0,44.0,1 win & 10 nominations.,473226958,80000000,2015,9
16,Terminator Genisys,5.9,6.3,27.0,38.0,10 nominations.,440603537,155000000,2015,6
17,Mad Max: Fury Road,7.5,8.1,97.0,90.0,Won 6 Oscars. Another 239 wins & 231 nominations.,378858340,150000000,2015,5
18,Home,6.8,6.6,51.0,55.0,3 wins & 9 nominations.,368871007,135000000,2015,3
19,The Good Dinosaur,6.7,6.7,76.0,66.0,Nominated for 1 Golden Globe. Another 9 wins & 40 nominations.,332207671,175000000,2015,11
20,Captain America: Civil War,7.4,7.8,90.0,75.0,16 wins & 72 nominations.,1153296293,250000000,2016,4
21,Rogue One: A Star Wars Story,7.5,7.8,84.0,65.0,Nominated for 2 Oscars. Another 24 wins & 81 nominations.,1056057273,200000000,2016,12
22,Finding Dory,7.1,7.3,94.0,77.0,Nominated for 1 BAFTA Film Award. Another 17 wins & 45 nominations.,1028570889,200000000,2016,6
23,Zootopia,7.7,8.0,98.0,78.0,Won 1 Oscar. Another 46 wins & 72 nominations.,1023784195,150000000,2016,2
24,The Jungle Book,6.9,7.4,94.0,77.0,Won 1 Oscar. Another 32 wins & 54 nominations.,966550600,175000000,2016,4
25,The Secret Life of Pets,6.2,6.5,72.0,61.0,4 wins & 15 nominations.,875457937,75000000,2016,6
26,Batman v Superman: Dawn of Justice,5.9,6.4,29.0,44.0,14 wins & 33 nominations.,873634919,250000000,2016,3
27,Fantastic Beasts and Where to Find Them,7.4,7.3,74.0,66.0,Won 1 Oscar. Another 14 wins & 54 nominations.,809342332,180000000,2016,11
28,Deadpool,7.6,8.0,85.0,65.0,Nominated for 2 Golden Globes. Another 28 wins & 76 nominations.,783100000,58000000,2016,2
29,Suicide Squad,5.9,6.0,26.0,40.0,Won 1 Oscar. Another 16 wins & 40 nominations.,746846894,175000000,2016,8
30,Moana,7.6,7.6,95.0,81.0,Nominated for 2 Oscars. Another 20 wins & 88 nominations.,690860472,150000000,2016,11
31,Doctor Strange,7.4,7.5,89.0,72.0,Nominated for 1 Oscar. Another 19 wins & 67 nominations.,677700000,165000000,2016,10
32,Sing,7.1,7.1,72.0,59.0,Nominated for 2 Golden Globes. Another 3 wins & 23 nominations.,634151679,75000000,2016,11
33,X-Men: Apocalypse,6.5,6.9,47.0,52.0,1 win & 19 nominations.,543934787,178000000,2016,5
34,Kung Fu Panda 3,6.8,7.1,87.0,66.0,1 win & 10 nominations.,521170825,145000000,2016,1
35,La La Land,7.9,8.0,90.0,94.0,Won 6 Oscars. Another 236 wins & 287 nominations.,446486224,30000000,2016,11
36,Warcraft,6.3,6.8,28.0,32.0,2 wins & 3 nominations.,433677183,160000000,2016,5
37,Jason Bourne,6.3,6.6,54.0,58.0,3 wins & 20 nominations.,415484914,120000000,2016,7
38,Ice Age: Collision Course,6.0,5.7,18.0,34.0,2 wins.,408579038,105000000,2016,6
39,Star Wars: The Last Jedi,6.9,7.0,90.0,84.0,Nominated for 4 Oscars. Another 26 wins & 99 nominations.,1332539889,200000000,2017,12
40,Beauty and the Beast,7.0,7.1,71.0,65.0,Nominated for 2 Oscars. Another 15 wins & 72 nominations.,1263521126,160000000,2017,3
41,The Fate of the Furious,6.9,6.6,67.0,56.0,2 wins & 12 nominations.,1238764765,250000000,2017,4
42,Despicable Me 3,6.4,6.3,58.0,49.0,33 nominations.,1031552585,80000000,2017,6
43,Jumanji: Welcome to the Jungle,6.8,6.9,76.0,58.0,6 wins & 19 nominations.,962102237,90000000,2017,12
44,Spider-Man: Homecoming,7.4,7.4,92.0,73.0,7 wins & 10 nominations.,880166924,175000000,2017,7
45,Wolf Warrior 2,6.6,6.0,69.0,44.0,27 wins & 15 nominations.,870322670,29700000,2017,7
46,Guardians of the Galaxy Vol. 2,7.6,7.6,85.0,67.0,Nominated for 1 Oscar. Another 15 wins & 57 nominations.,863756051,200000000,2017,4
47,Thor: Ragnarok,7.6,7.9,93.0,74.0,6 wins & 50 nominations.,853977126,180000000,2017,10
48,Wonder Woman,7.3,7.4,93.0,76.0,25 wins & 72 nominations.,821847012,149000000,2017,5
49,Coco,8.2,8.4,97.0,81.0,Won 2 Oscars. Another 109 wins & 40 nominations.,800526015,175000000,2017,10
50,Pirates of the Caribbean: Dead Men Tell No Tales,6.6,6.5,29.0,39.0,1 win & 13 nominations.,794861794,230000000,2017,5
51,It,7.2,7.3,86.0,69.0,9 wins & 49 nominations.,701796444,35000000,2017,9
52,Justice League,6.2,6.2,40.0,45.0,2 wins & 13 nominations.,657924295,300000000,2017,11
53,Logan,7.8,8.1,93.0,77.0,Nominated for 1 Oscar. Another 28 wins & 76 nominations.,619021436,97000000,2017,2
54,Transformers: The Last Knight,6.0,5.2,15.0,27.0,5 wins & 19 nominations.,605425157,217000000,2017,6
55,Kong: Skull Island,6.5,6.6,75.0,62.0,Nominated for 1 Oscar. Another 1 win & 20 nominations.,566652812,185000000,2017,3
56,Dunkirk,7.5,7.8,92.0,94.0,Won 3 Oscars. Another 60 wins & 229 nominations.,525573161,100000000,2017,7
57,The Boss Baby,6.5,6.3,53.0,50.0,Nominated for 1 Oscar. Another 4 wins & 20 nominations.,498814908,125000000,2017,3
58,War for the Planet of the Apes,7.1,7.4,94.0,82.0,Nominated for 1 Oscar. Another 27 wins & 64 nominations.,488533726,150000000,2017,7
59,Avengers: Infinity War,8.3,8.4,85.0,68.0,Nominated for 1 Oscar. Another 46 wins & 76 nominations.,2046239637,300000000,2018,4
60,Black Panther,7.4,7.3,96.0,88.0,Won 3 Oscars. Another 109 wins & 274 nominations.,1346739107,200000000,2018,2
61,Jurassic World: Fallen Kingdom,6.6,6.2,47.0,51.0,4 wins & 26 nominations.,1303459585,170000000,2018,6
62,Incredibles 2,7.5,7.6,93.0,80.0,Nominated for 1 Oscar. Another 12 wins & 76 nominations.,1242805359,200000000,2018,6
63,Aquaman,6.9,6.9,65.0,55.0,2 wins & 39 nominations.,1148461807,160000000,2018,12
64,Bohemian Rhapsody,8.0,8.0,60.0,49.0,Won 4 Oscars. Another 42 wins & 77 nominations.,894027543,52000000,2018,10
65,Venom,6.8,6.7,29.0,35.0,3 wins & 9 nominations.,855013954,116000000,2018,9
